Name              GP   PPG   RPG    FG%    FT%    3P%
F.Flintstone      23  11.0   4.3  0.463  0.610  0.365
B.Rubble          23  10.4   4.1  0.401  0.849  0.286
W.Flintstone      14  10.1   5.9  0.554  0.630  0.000
H.Simpson         23   9.4   6.2  0.653  0.579  0.333
N.Flanders        23   7.2   2.2  0.449  0.882  0.407
N.Explosion       23   7.0   2.7  0.486  0.643  0.484
K.Broflovski      21   6.0   1.8  0.310  0.722  0.276
E.Cartman         18   4.6   1.2  0.424  0.833  0.459
G.Jetson          17   4.4   2.2  0.448  0.655  0.188
S.Skwigelf        18   3.3   1.1  0.442  0.720  0.333
T.Wartooth        22   3.1   2.1  0.322  0.575  0.304
